SymName,TotalAmountIn,TotalAmountOut,TotalTrades,profit,return_percent
DEO,69292.52,70702.2,36,1409.68,2.034389859
MERC,85706.5,87447.84,43,1741.34,2.031747884
LESL,119453.97,121880.87,60,2426.9,2.031661233
TCI,27818.01,28382.28,14,564.27,2.028434097
HSIC,96243.27,98193.04,49,1949.77,2.025876718
SON,69215.95,70617.94,35,1401.99,2.025530243
SFB,29820.31,30422.8,15,602.49,2.020401532
AIR,97127.27,99086.91,49,1959.64,2.017600206
SMBK,35784.6,36504.45,18,719.85,2.011619523
ESLT,92453.66,94310.82,48,1857.16,2.008746868
RCLFU,1991.66,2031.48,1,39.82,1.999337236
BFC,94568.73,96458.69,48,1889.96,1.998504157
CBSH,76954.25,78489.63,39,1535.38,1.995185451
CALB,19891.73,20288.38,10,396.65,1.994044761
TNL,110745.12,112952.8,56,2207.68,1.993478358
SAP,81896.17,83527.17,42,1631,1.991546125
KRT,81658.19,83283.76,41,1625.57,1.990700504
PLPC,37357.43,38099.3,19,741.87,1.985870013
FUNC,103563.71,105619.22,52,2055.51,1.984778259
UNP,79681.47,81259.65,42,1578.18,1.98061105
VHI,123269.73,125706.62,62,2436.89,1.976876237
MEOH,97221.54,99142.66,49,1921.12,1.976023009
BOH,110134.99,112306.38,56,2171.39,1.971571432
NRG,99303.27,101256.77,50,1953.5,1.967206115
CMG,46897.39,47818.67,32,921.28,1.964459003
CRUS,108284.1,110406.92,55,2122.82,1.960417088
SNV-PE,33823.09,34485.8,17,662.71,1.959341976
SELB,107959.93,110072.06,54,2112.13,1.956401787
RDY,74870.77,76335.53,38,1464.76,1.956384314
MTCH,129557.06,132089.39,66,2532.33,1.954605947
ARCE,57778.99,58900.9,29,1121.91,1.941726569
CRGY,65701.67,66976.55,33,1274.88,1.940407299
COF,69962.22,71319.44,36,1357.22,1.939932724
TSN,96238.91,98101.52,49,1862.61,1.935402219
TCBK,116829.7,119088.2,59,2258.5,1.933155696
ATVI,100100.92,102033.7,51,1932.78,1.930831405
