SymName,TotalAmountIn,TotalAmountOut,TotalTrades,profit
BHP,116184.96000000002,119016.11,59,2831.1499999999796
OFLX,171095.42,175819.18,88,4723.75999999998
BSIG,143576.03999999998,148890.24,72,5314.200000000012
USNA,149185.85,150442.57999999996,76,1256.7299999999523
IRMD,158872.89,161427.19,80,2554.2999999999884
WIRE,77699.06,81032.98999999999,40,3333.929999999993
FIZZ,160033.96999999997,165937.66000000003,81,5903.6900000000605
EPSN,117855.69,119799.62,59,1943.929999999993
MLACW,31997.68,33122.08,16,1124.4000000000015
YUM,62711.25,64749.44,32,2038.1900000000023
HLI,82467.57,85363.93000000001,42,2896.3600000000006
FINW,49863.600000000006,50506.98,25,643.3799999999974
DDS,73104.32,74475.68,39,1371.359999999986
ASML,124625.34000000001,129589.14,70,4963.799999999988
HCC,139058.57,143840.77000000002,70,4782.200000000012
EXPO,82249.79,84879.74,42,2629.9500000000116
NBN,103465.27000000002,107551.48,52,4086.2099999999773
LSTR,98476.78,99967.42,51,1490.6399999999994
HYW,65887.62999999999,65994.09999999999,33,106.47000000000116
SAMG,163433.31999999998,166504.73,82,3071.4100000000326
APA,117118.93999999999,122551.23000000001,59,5432.290000000023
DMLP,59575.53,62005.68,30,2430.1500000000015
IDT,99102.64,103728.34000000001,50,4625.700000000012
VIAV,111616.99,114145.82,56,2528.8300000000017
DPZ,101110.5,103282.12000000001,55,2171.62000000001
AAPL,100226.93999999999,104357.58,52,4130.640000000014
AMPY,75881.23,79972.92000000001,38,4091.690000000017
ATKR,173510.62,182028.68,88,8518.059999999998
ADP,61130.98,63597.259999999995,32,2466.2799999999916
CCOI,102121.29999999999,103764.98000000001,52,1643.6800000000221
BBY,137019.56,142173.55000000002,70,5153.99000000002
VLO,40812.51,42937.18,21,2124.6699999999983
NRC,126358.39000000001,128455.93,64,2097.539999999979
PBF,51628.509999999995,56563.29,26,4934.780000000006
DOOO,157706.3,165449.38,80,7743.080000000016
AVID,213126.06999999998,222744.12,107,9618.050000000017
BIPC,64936.01,65540.83,33,604.8199999999997
WSM,174575.24,179165.61,90,4590.369999999995
APAM,130878.62,135851.54,66,4972.920000000013
SFBS,47462.72,48152.380000000005,24,689.6600000000035
IRWD,103705.62999999999,105010.78,52,1305.1500000000087
MLI,122825.91999999998,127497.19,62,4671.270000000019
GRVY,253173.34000000003,260900.2,129,7726.859999999986
ZIM,142585.46,148919.71999999997,72,6334.25999999998
LPRO,145199.52,146520.4,73,1320.8800000000047
SWN,65904.51,68578.42000000001,33,2673.910000000018
EQH-PC,25889.65,25794.17,13,-95.4800000000032
EQH-PA,27812.61,27506.199999999997,14,-306.4100000000035
LOGI,122021.79000000002,126260.79999999997,62,4239.009999999951
HCKT,101609.18999999999,104536.58,51,2927.390000000014
CASH,115019.95999999999,119532.08000000002,58,4512.120000000024
PNT,61883.03999999999,66048.79000000001,31,4165.750000000015
MPX,199425.85000000003,204274.74,100,4848.889999999956
PFG,27428.039999999997,28372.629999999997,14,944.5900000000001
TGLS,165431.89,174294.53,83,8862.639999999985
EWBC,154222.73,158594.69000000003,78,4371.960000000021
NLOK,71591.90000000001,73677.1,36,2085.199999999997
EGY,145849.94999999998,151842.61999999997,73,5992.669999999984
LRCX,148956.28999999998,155030.40000000002,82,6074.110000000044
LULU,132659.36,137757.93,71,5098.570000000007
HLNE,141596.09999999998,144999.5,72,3403.4000000000233
BBWI,96944.04000000001,99049.66,49,2105.6199999999953
KLIC,148463.70000000004,152612.68999999997,75,4148.9899999999325
EOG,80171.63999999998,83888.34999999999,41,3716.7100000000064
BBSI,125877.33,129332.35,64,3455.020000000004
OFG,51706.2,52939.39000000001,26,1233.1900000000096
SSBI,81752.69,84103.92000000001,41,2351.2300000000105
ARLP,37817.72,39996.27,19,2178.5499999999956
DFS,143348.88,148800.17,73,5451.290000000008
ARL,49755.08,52912.43,25,3157.3499999999985
COP,96360.72,100218.21,49,3857.4900000000052
CRC,51550.38,52232.72,26,682.3400000000038
SRTS,125755.86999999998,130857.19,63,5101.3200000000215
HD,71898.73000000003,74967.81999999999,38,3069.0899999999674
PBR,129629.74,132698.22,65,3068.479999999996
PBR-A,135583.47000000003,139220.26,68,3636.789999999979
YRD,237696.84000000003,243310.39999999994,119,5613.55999999991
DX-PC,35843.46,36878.58,18,1035.1200000000026
LC,83677.99999999999,84265.98,42,587.9800000000105
MTD,70065.47999999998,73010.14,50,2944.660000000018
KFS,15971.6,16654.92,8,683.3199999999979
FICO,111859.40000000002,116628.39000000001,62,4768.989999999991
ORLY,64008.869999999995,67085.4,36,3076.529999999999
HRB,59644.03999999999,62649.62,30,3005.580000000009
ACN,75152.95999999999,78037.92,40,2884.9600000000064
OPFI,141840.47000000003,143206.53999999998,71,1366.0699999999488
EVOJW,25997.77,26489.09,13,491.3199999999997
ODFL,104985.43,108931.53,56,3946.100000000006
ARCH,134505.37,139819.82,69,5314.450000000012
CL,49032.03999999999,49815.159999999996,25,783.1200000000026
BBVA,123870.44999999998,127428.24999999999,62,3557.800000000003
ICL,93790.48,96014.19,47,2223.7100000000064
LOW,104079.05999999998,107534.9,54,3455.840000000011
PUMP,119647.36,123439.86,60,3792.5
HDSN,123831.86,132421.11000000002,62,8589.250000000015
UMBF,47067.09,47147.479999999996,24,80.38999999999942
DKS,121395.69,125371.93,62,3976.2399999999907
PAYX,76211.37999999999,78723.34,39,2511.9600000000064
CLBT,71896.51,73201.80000000002,36,1305.2900000000227
NRP,65497.12,69312.06,33,3814.939999999995
RLI,84029.94,86637.57999999999,43,2607.639999999985
CRGY,65701.67,66976.54999999999,33,1274.87999999999
HLF,164368.87999999998,166264.86,83,1895.9800000000105
SBSW,185399.16000000003,192430.97,93,7031.809999999969
VET,61674.65,64795.92,31,3121.269999999997
PAYC,167272.31999999998,173240.83000000002,90,5968.510000000038
ROST,97776.75,99806.67000000001,50,2029.9200000000128
NUE,85249.8,89105.77999999998,44,3855.9799999999814
MAS,114543.73000000001,117363.20000000001,58,2819.470000000001
DVN,43313.40000000001,45664.76,22,2351.3599999999933
IFS,150992.94000000003,153878.63,76,2885.689999999973
MRNA,135506.91999999998,142254.18000000002,71,6747.260000000038
MTB,46118.64,46891.25,24,772.6100000000006
IMXI,137528.69999999998,140641.29,69,3112.5900000000256
PKE,111609.86,113499.73,56,1889.8699999999953
MHK,56117.479999999996,56267.28,29,149.8000000000029
WAT,93256.08000000002,95473.09000000001,50,2217.0099999999948
IDXX,102523.78,106546.33,57,4022.550000000003
INCY,76677.15,78429.23999999999,39,1752.0899999999965
CCRD,182554.06,190561.46,92,8007.399999999994
MCFT,117298.48,120665.27,59,3366.790000000008
EVR,135283.13,139916.3,69,4633.169999999984
AMSWA,47809.17,47464.23,24,-344.93999999999505
INFY,93631.24999999997,96845.10999999999,47,3213.860000000015
IIIN,79373.73,82487.84,40,3114.1100000000006
PLCE,226915.61000000002,232946.21999999997,115,6030.609999999957
VIST,117823.88,123514.69999999998,59,5690.819999999978
UMC,153722.30000000002,157687.55000000005,77,3965.250000000029
BAM,31628.39,32216.410000000003,16,588.0200000000041
PEBK,23871.27,23995.230000000003,12,123.96000000000276
MKTX,116685.10999999999,119481.18,65,2796.070000000007
HSON,103255.86,107348.02,52,4092.1600000000035
QCOM,137445.03,141591.06999999998,71,4146.039999999979
WABC,74879.91000000002,75558.68000000001,38,678.7699999999895
GROW,51943.72,51838.630000000005,26,-105.08999999999651
LOB,73191.32,73036.20000000001,37,-155.11999999999534
KLAC,151199.97,156216.14,81,5016.170000000013
FCX,154978.48,161314.72000000003,78,6336.24000000002
MO,69174.03,70358.56999999999,35,1184.5399999999936
TSLA,118123.71999999997,123750.78999999998,71,5627.070000000007
TCI,27818.01,28382.28,14,564.2700000000004
ULTA,121250.85000000002,125991.92,65,4741.069999999978
STEP,107122.03999999998,109611.77,54,2489.730000000025
AMAT,154535.54,160528.09999999998,79,5992.559999999969
GWW,86703.68,89239.59,47,2535.9100000000035
TXN,94233.82999999999,96001.26999999999,49,1767.4400000000023
PAGS,250196.42,258949.86999999997,126,8753.449999999953
KEN,81169.32,83116.94,41,1947.6199999999953
ITRN,155216.27999999997,157171.7,78,1955.420000000042
TER,156255.48,161707.05,80,5451.569999999978
SELB,107959.93,110072.06000000001,54,2112.130000000019
RVLV,249738.11000000002,258517.96999999997,126,8779.859999999957
ITUB,39957.79,41305.81,20,1348.0199999999968
AX,79315.73000000001,80479.05,40,1163.3199999999924
ARHS,77846.49999999999,79598.16999999998,39,1751.6699999999983
SLVM,53631.009999999995,57621.96000000001,27,3990.9500000000116
AMX,33836.54,34106.11,17,269.5699999999997
MSCI,103503.68000000001,107639.48999999999,57,4135.809999999983
VIPS,237188.15,245442.41999999995,119,8254.26999999996
SCCO,136356.52,140591.34999999998,69,4234.829999999987
UFPI,141892.55,146920.47000000003,72,5027.920000000042
CIVI,51104.90000000001,53340.63,26,2235.7299999999886
DEN,100433.92,104838.24,51,4404.320000000007
V,72378.78000000001,74620.67,38,2241.889999999985
MPC,29151.919999999995,30682.52999999999,15,1530.609999999997
INMD,234002.54,245204.64,118,11202.100000000006
ADBE,101499.28,105156.63,56,3657.350000000006
RYI,115352.55999999998,121728.99999999999,58,6376.440000000002
OMAB,132273.5,136489.45,67,4215.950000000012
RGEN,57398.23999999999,58845.26000000001,30,1447.0200000000186
OMC,109994.73,111989.17000000001,56,1994.4400000000169
WHD,166652.83000000002,171003.62,84,4350.789999999979
KFY,124501.69,128589.51000000002,63,4087.8200000000215
CBSH,76954.24999999999,78489.63000000002,39,1535.3800000000338
LYV,46816.270000000004,46711.6,24,-104.67000000000553
FTDR,142591.13,145187.71000000002,72,2596.5800000000163
IT,43033.149999999994,45558.96,23,2525.810000000005
TJX,84822.60999999999,86757.43999999999,43,1934.8300000000017
VNOM,41665.1,43605.97,21,1940.8700000000026
SGHC,105862.02000000002,107002.08,53,1140.0599999999831
FAST,81053.93,83556.15,41,2502.220000000001
AB,122939.69,126400.23999999999,62,3460.5499999999884
EQT,51432.63999999999,54395.9,26,2963.2600000000093
SCPL,173322.88,178513.48,87,5190.600000000006
DB,85771.02,87636.16,43,1865.1399999999994
COKE,99738.19,103307.85999999999,54,3569.6699999999837
FXNC,43837.979999999996,43998.469999999994,22,160.48999999999796
RIO,121989.96,125339.89000000001,62,3349.9300000000076
MBUU,193515.15,199439.63999999998,98,5924.489999999991
ITOS,69518.70999999999,70173.5,35,654.7900000000081
TSM,123898.8,127332.05,63,3433.25
CDNS,99353.49,102336.40999999999,51,2982.9199999999837
CPRT,95708.95999999999,101653.96,49,5945.000000000015
RGR,114329.72,117088.32,58,2758.600000000006
EAF,233436.46000000002,238864.29000000004,117,5427.830000000016
TGT,93912.42000000001,97409.84,49,3497.4199999999837
WU,111474.86,112809.33,56,1334.4700000000012
CLFD,114627.68999999999,121783.85,58,7156.160000000018
WGO,126320.1,130417.45,64,4097.349999999991
PM,78457.8,80403.59000000001,40,1945.7900000000081
CRVL,112907.51999999999,116860.22999999998,58,3952.709999999992
PXD,71897.83,74861.19999999998,38,2963.369999999981
SBUX,91580.43,94264.73000000001,47,2684.3000000000175
QFIN,314722.64,324701.75,158,9979.109999999986
AMN,83604.23,86838.53,43,3234.300000000003
WFG,143861.39,149080.95,73,5219.559999999998
SCVL,184957.42,187481.06,93,2523.639999999985
PRPH,135723.59999999998,140915.1,68,5191.500000000029
RPRX,71219.73000000001,72356.78,36,1137.0499999999884
RJF,107806.51,111849.73999999998,55,4043.2299999999814
POOL,99227.11000000002,102772.02999999998,54,3544.919999999969
ITW,76357.01,78653.81,40,2296.800000000003
CPAC,87866.21,88158.98,44,292.7699999999895
DX,85693.09999999998,87758.20999999999,43,2065.110000000015
SM,59457.27999999999,61921.8,30,2464.5200000000114
RH,172344.88,181569.43000000002,93,9224.550000000017
CTRA,161104.18000000002,164546.06999999998,81,3441.8899999999558
TMST,121526.01000000001,126811.18000000001,61,5285.169999999998
SMBK,35784.6,36504.45,18,719.8499999999985
WSO,109159.30999999998,110769.90000000001,58,1610.5900000000256
JPM-PM,25918.88,25597.050000000003,13,-321.8299999999981
CARG,168942.99999999997,173388.08,85,4445.080000000016
SIG,74785.23000000001,75995.86,38,1210.62999999999
METC,205553.17,215027.52000000005,103,9474.350000000035
VSTO,95094.69,97354.16,48,2259.470000000001
EPAM,133880.83,141503.29,73,7622.460000000021
MPWR,132938.9,137351.3,72,4412.399999999994
PAC,151912.17,156597.67,78,4685.5
CHH,56310.75999999999,58389.54,29,2078.7800000000134
CGNX,76700.31,77429.36000000002,39,729.0500000000175
FORTY,145210.24,149093.90000000002,74,3883.6600000000326
AXP,112109.36,114665.55000000002,58,2556.190000000017
ACLS,114298.81999999999,119452.91999999998,58,5154.099999999991
CCSI,69090.18999999999,70775.3,35,1685.1100000000151
CHRW,86189.14,88049.22000000002,44,1860.0800000000163
MUSA,92572.38,96790.40000000001,48,4218.020000000004
MSFT,90759.14,93304.98,48,2545.8399999999965
PKBK,117503.01,120894.48999999999,59,3391.479999999996
ETD,73569.76000000001,75619.15000000001,37,2049.3899999999994
DVAX,127676.12,134771.3,64,7095.179999999993
GMAB,107078.66999999998,112013.62999999999,54,4934.960000000006
UPS,65230.369999999995,66674.40999999999,34,1444.0399999999936
ASR,72384.16,74611.43000000001,38,2227.270000000004
KTB,136577.17,138040.19999999998,69,1463.0299999999697
FBP,39860.85999999999,40447.850000000006,20,586.9900000000125
ROL,101193.88,103012.79999999999,51,1818.9199999999837
ATEN,99737.68000000001,103424.83,50,3687.149999999994
GATEW,93995.33,107859.14000000001,47,13863.810000000012
LMT,63400.490000000005,65616.64,35,2216.149999999994
TREX,167362.72000000003,173590.45,85,6227.729999999981
LESL,119453.97,121880.87000000001,60,2426.9000000000087
REX,55249.05,56133.56,28,884.5099999999948
SHEL,69192.26,70850.17000000001,35,1657.910000000018
VALE,133558.94,138208.93,67,4649.989999999991
PHM,144516.52999999997,149176.93,73,4660.400000000023
VC,138415.71999999997,144158.22999999998,71,5742.510000000009
EL,114783.45,117447.64000000003,61,2664.1900000000314
TROW,106272.54000000001,108894.51000000001,55,2621.970000000001
TALO,57731.22,61733.740000000005,29,4002.520000000004
GGG,80885.06999999999,83168.56999999999,41,2283.5
ESEA,157175.27000000002,164869.20999999996,79,7693.939999999944
CVE,47777.25,50277.83,24,2500.5800000000017
DHI,141665.09,146461.95,72,4796.860000000015
AON,60301.64,62522.89,32,2221.25
CIB,33715.45,34551.43,17,835.9800000000032
XPEL,235835.20000000007,247263.12999999998,119,11427.929999999906
SYF,95152.84,97724.87,48,2572.029999999999
RO.SW,52148.2,53620.47000000001,28,1472.2700000000114
ESTE,155597.61,161447.46000000002,78,5849.850000000035
CVX,40507.15,43080.09999999999,21,2572.94999999999
OLN,83068.22,86565.47,42,3497.25
IMTX,57874.75000000001,58832.87,29,958.1199999999953
HZO,164651.78999999998,171692.76,83,7040.97000000003
SFB,29820.31,30422.799999999996,15,602.4899999999943
CMA,58758.01,59343.73000000001,30,585.7200000000084
SIRI,97848.70999999999,99128.06,49,1279.3500000000058
ANET,125535.99999999999,130620.84999999999,66,5084.850000000006
UBFO,17969.280000000002,17764.57,9,-204.71000000000276
WST,90178.11,94492.19,49,4314.080000000002
GGB,163822.84999999998,168363.69999999998,82,4540.850000000006
WFRD,49648.18,52675.81,25,3027.6299999999974
MAR,38372.0,39038.61,20,666.6100000000006
AXR,49841.95999999999,51021.71,25,1179.7500000000073
SCHW,100619.3,102969.12999999999,51,2349.829999999987
SCHW-PD,17899.39,17717.39,9,-182.0
SCHW-PJ,23857.11,23783.960000000003,12,-73.14999999999782
JPM-PC,21854.57,21995.539999999997,11,140.96999999999753
JPM-PJ,35820.62,35832.380000000005,18,11.760000000002037
JPM-PL,23879.28,23608.96,12,-270.3199999999997
COST,59636.55000000001,61926.0,33,2289.44999999999
RILYM,27848.279999999995,28970.93,14,1122.650000000005
TCBX,25828.4,25811.170000000002,13,-17.229999999999563
FIGS,93710.39999999998,95047.58,47,1337.1800000000221
ASO,104975.04,108612.05,53,3637.0100000000093
LEN,74252.29999999999,76181.79999999999,38,1929.5
XOM,31041.5,32539.629999999997,16,1498.1299999999974
VSH,103521.05999999998,105232.56,52,1711.5000000000146
SNRHW,63995.369999999995,62925.07,32,-1070.2999999999956
ZYXI,239278.22999999998,250689.38,120,11411.150000000023
ZTS,82362.45,84624.62000000001,43,2262.170000000013
HVT,147116.44,151080.66999999995,74,3964.2299999999523
CSCO,80974.77,82863.95000000001,41,1889.1800000000076
BOTJ,111658.84,113563.18,56,1904.3399999999965
PSX,52798.32,54947.95999999999,27,2149.639999999992
UTMD,117339.22,119249.83,60,1910.6100000000006
HES,78106.23999999999,81780.66,40,3674.420000000013
KMB,52109.88999999999,53357.60999999999,27,1247.7200000000012
STM,85159.96,86776.34000000001,43,1616.3800000000047
SYF-PA,35847.07,35423.979999999996,18,-423.0900000000038
CMC,127218.4,130891.07,64,3672.670000000013
X,127327.45,131818.41999999998,64,4490.969999999987
MTH,140709.09999999998,145756.46999999997,72,5047.369999999995
EEFT,93076.86,95108.01999999999,48,2031.159999999989
HOVNP,89766.52,93706.70000000001,45,3940.1800000000076
JBL,134833.46999999997,139877.43000000002,68,5043.96000000005
DEO,69292.51999999999,70702.2,36,1409.6800000000076
CVLY,35807.880000000005,35934.23,18,126.34999999999854
COWNL,27833.460000000006,28862.83,14,1029.3699999999953
THO,93698.42,95692.25,48,1993.8300000000017
HLT,71525.72,73690.91,37,2165.1900000000023
MXL,78921.73,79133.75,40,212.02000000000407
LSCC,116296.57000000002,119335.89999999998,59,3039.329999999958
FANG,93470.59,97569.81000000001,48,4099.220000000016
STX,151541.09000000003,154887.65,77,3346.5599999999686
BF-A,82761.38,84627.15000000001,42,1865.770000000004
BF-B,86735.56999999999,88643.51,44,1907.9400000000023
CBT,86801.45,89411.63,44,2610.1800000000076
SEE,108909.72000000002,111632.83,55,2723.109999999986
RACE,89131.67000000001,91577.87,47,2446.1999999999825
FWRD,74182.50000000001,76459.38999999998,38,2276.8899999999703
ALGN,119771.16000000002,122793.94,66,3022.7799999999843
EXK,83926.29,85864.93999999999,42,1938.6499999999942
CNQ,33584.52,35406.700000000004,17,1822.1800000000076
ABMD,146536.38,150427.69,79,3891.3099999999977
EME,91698.26,95818.53000000001,47,4120.270000000019
CPSH,77941.81999999999,80719.87999999999,39,2778.0599999999977
TBCPW,47993.92,47184.64,24,-809.2799999999988
CHKP,71528.98999999999,73103.38000000002,37,1574.3900000000285
SSTK,133860.11999999997,137398.74,68,3538.6200000000244
HOLX,74825.11999999998,77162.51999999999,38,2337.4000000000087
TECTP,5989.48,6352.44,3,362.96000000000004
AGCO,121080.62999999999,126787.23,62,5706.600000000006
KEYS,120409.51999999999,123572.9,62,3163.3800000000047
SU,37713.42,39550.74,19,1837.3199999999997
DCI,96883.8,98665.41999999998,49,1781.6199999999808
ARCB,96085.65,99571.26999999999,49,3485.6199999999953
AKO-B,189314.72999999998,190258.85,95,944.1200000000244
AKO-A,169528.68,170496.71,85,968.0299999999988
MNST,82650.21999999999,88564.16,42,5913.940000000017
AR,53503.89,56620.530000000006,27,3116.6400000000067
SLM,121638.56,125992.03,61,4353.470000000001
ERIE,17322.2,18294.2,9,972.0
MCB,70702.78,71989.96999999999,36,1287.1899999999878
CHSCP,19885.63,19984.66,10,99.02999999999884
CHSCL,13921.519999999999,13797.41,7,-124.10999999999876
DFH,119510.45999999998,121286.31,60,1775.8500000000204
NVEC,145616.64,147838.50999999998,74,2221.8699999999662
WDFC,98193.7,99955.7,52,1762.0
AVAL,49966.18,49251.030000000006,25,-715.1499999999942
RCII,146729.75999999998,151938.22,74,5208.460000000021
YETI,169832.04999999996,175750.40999999997,86,5918.360000000015
CTRN,187633.03,192579.18,95,4946.149999999994
ORCL,84452.26999999999,86788.87999999999,43,2336.6100000000006
CVCO,163867.36,169384.21999999997,86,5516.859999999986
EW,112653.63,115514.04999999999,58,2860.4199999999837
BRKR,118418.62,122453.75000000001,60,4035.130000000019
SSD,107535.70999999999,111503.46999999999,55,3967.7599999999948
ABCL,183021.59,185451.51000000004,92,2429.920000000042
CROX,202705.99000000002,211892.43000000002,103,9186.440000000002
WB,235540.20999999996,238836.93999999997,119,3296.7300000000105
TWI,55828.32000000001,58361.37000000001,28,2533.050000000003
PDD,86770.4,91188.47000000002,44,4418.0700000000215
SHLS,89566.1,94302.48999999999,45,4736.389999999985
MSI,72543.0,75871.91999999998,38,3328.9199999999837
ZUMZ,210338.44000000003,215594.05,106,5255.609999999957
DIOD,125904.73000000001,129162.77000000002,64,3258.040000000008
MOS,55328.25,56945.86,28,1617.6100000000006
LND,143811.84,146433.81,72,2621.970000000001
PFE,57222.78999999999,58730.77999999999,29,1507.989999999998
PLTK,117473.09,118182.21999999999,59,709.1299999999901
DLHC,95661.06,97498.06,48,1837.0
WTS,89398.05999999997,92577.19000000002,46,3179.1300000000483
FCBC,39717.97000000001,39612.87,20,-105.10000000000582
FINV,293685.75,304029.43,147,10343.679999999993
GOOGL,46828.51000000001,47905.07,52,1076.5599999999904
GOOG,48831.1,50092.009999999995,52,1260.9099999999962
CTSH,98561.78,99954.12,50,1392.3399999999965
TECK,83447.34,87800.49,42,4353.150000000009
PARR,51797.00000000001,53785.02,26,1988.0199999999895
MMI,115125.42,118160.90999999999,58,3035.4899999999907
OC,70329.64000000001,71922.88,36,1593.2399999999907
FCNCA,64406.87,66405.81,38,1998.939999999995
FCNCO,17874.75,17655.55,9,-219.20000000000073
NKE,99327.11999999998,102217.58,51,2890.460000000021
ZBRA,127864.92000000001,131818.96999999997,69,3954.0499999999593
ARCE,57778.98999999999,58900.9,29,1121.9100000000108
GIII,59670.76,60463.78,30,793.0199999999968
IPG,115250.75,119142.11000000002,58,3891.360000000015
LYG,65967.13,66836.03,33,868.8999999999942
ALGM,49663.74999999999,50717.82,25,1054.070000000007
APH,80317.65,83189.60000000002,41,2871.950000000026
SIX,132722.52,135625.42,67,2902.9000000000233
ZIP,63749.28,65115.05,32,1365.770000000004
AFG,48661.07,50371.12,25,1710.050000000003
GAMB,115729.5,120267.7,58,4538.199999999997
CHCI,111922.65,114456.79,56,2534.1399999999994
AMSF,90654.53999999998,92113.85999999999,46,1459.320000000007
CSTR,83711.62000000001,85202.31,42,1490.6899999999878
SBOW,129146.34000000001,137534.18000000002,65,8387.840000000011
AN,121433.95,126184.56999999998,62,4750.619999999981
ASIX,79370.15000000001,82266.81,40,2896.659999999989
CPG,57889.939999999995,60950.40000000001,29,3060.4600000000137
HON,80214.50000000001,82686.29,42,2471.789999999979
GAINN,5958.99,5716.120000000001,3,-242.86999999999898
MTCH,129557.06,132089.38999999998,66,2532.329999999987
UAN,60162.09,62228.28999999999,31,2066.199999999997
CPE,150341.37999999998,158688.11000000002,76,8346.73000000004
CPF,59638.350000000006,60000.77,30,362.419999999991
HCA,103938.14,107943.21999999999,54,4005.079999999987
PEO,47796.37,50157.86,24,2361.489999999998
UNH,76028.45999999999,78866.89000000001,41,2838.430000000022
CDW,100264.76000000001,103634.83,52,3370.0699999999924
