symname
MARPS
ADRA
MBNKP
HWCPZ
TANNZ
NSS
ET-PC
ET-PE
NRUC
STZ
SJT
BPT
CVLT
FISI
TWND-UN
STZ-B
PFBC
IBOC
OCUP
OPHC
TIPT
CRT
IHG
ABNB
AA
EQNR
PRG
OTIS
DQ
TPL
PMVC
MED
ASTL
MCK
TVC
ISIG
YALA
AMP
MCO
PJT
LOMA
CORT
BKNG
ALTUU
ALTU
QIWI
BWFG
KWAC
VOC
GPRK
EXPD
ABC
SQM
AMR
AEL
FLR
MEAC
MEACU
NVR
EEX
VRTX
JFIN
UEIC
EQH
HPQ
MRVI
ERF
BKE
RHI
VGR
GNE
GNE-PA
ZYME
HSII
MOH
SWBI
DDT
BHP
OFLX
BSIG
USNA
IRMD
WIRE
FIZZ
EPSN
MLAC
MLACW
YUM
HLI
FINW
DDS
ASML
HCC
EXPO
NBN
LSTR
HYW
SAMG
APA
DMLP
IDT
VIAV
DPZ
AAPL
AMPY
ATKR
ADP
CCOI
BBY
VLO
NRC
PBF
DOOO
AVID
BIPC
WSM
APAM
SFBS
IRWD
MLI
GRVY
ZIM
LPRO
SWN
EQH-PC
EQH-PA
LOGI
HCKT
CASH
PNT
MPX
PFG
TGLS
EWBC
NLOK
EGY
LRCX
LULU
HLNE
BBWI
KLIC
EOG
BBSI
OFG
SSBI
ARLP
DFS
ARL
COP
CRC
SRTS
HD
PBR
PBR-A
YRD
DX-PC
LC
MTD
KFS
FICO
ORLY
HRB
ACN
OPFI
EVOJ
EVOJW
ODFL
ARCH
CL
BBVA
ICL
LOW
PUMP
HDSN
UMBF
DKS
PAYX
CLBT
NRP
RLI
CRGY
HLF
SBSW
VET
PAYC
ROST
NUE
MAS
DVN
IFS
MRNA
MTB
IMXI
PKE
MHK
WAT
IDXX
INCY
CCRD
MCFT
EVR
AMSWA
INFY
IIIN
PLCE
VIST
UMC
BAM
PEBK
MKTX
HSON
QCOM
WABC
GROW
LOB
KLAC
FCX
MO
TSLA
TCI
ULTA
STEP
AMAT
GWW
TXN
PAGS
KEN
ITRN
TER
SELB
RVLV
ITUB
AX
ARHS
SLVM
AMX
MSCI
VIPS
SCCO
UFPI
CIVI
DEN
V
MPC
INMD
ADBE
RYI
OMAB
RGEN
OMC
WHD
KFY
CBSH
LYV
FTDR
IT
TJX
VNOM
SGHC
FAST
AB
EQT
SCPL
DB
COKE
FXNC
RIO
MBUU
ITOS
TSM
CDNS
CPRT
RGR
EAF
TGT
WU
CLFD
WGO
PM
CRVL
PXD
SBUX
QFIN
AMN
WFG
SCVL
PRPH
RPRX
RJF
POOL
ITW
CPAC
DX
SM
RH
CTRA
TMST
SMBK
WSO
JPM-PM
CARG
SIG
METC
VSTO
EPAM
MPWR
PAC
CHH
CGNX
FORTY
AXP
ACLS
CCSI
CHRW
MUSA
MSFT
PKBK
ETD
DVAX
GMAB
UPS
ASR
KTB
FBP
ROL
ATEN
GATEW
GATE
LMT
TREX
LESL
REX
SHEL
VALE
PHM
VC
EL
TROW
TALO
GGG
ESEA
CVE
DHI
AON
CIB
XPEL
SYF
RO.SW
ESTE
CVX
OLN
IMTX
HZO
SFB
CMA
SIRI
ANET
UBFO
WST
GGB
WFRD
MAR
AXR
SCHW
SCHW-PD
SCHW-PJ
JPM-PC
JPM-PJ
JPM-PL
COST
RILYM
TCBX
FIGS
ASO
LEN
XOM
VSH
SNRH
SNRHW
ZYXI
ZTS
HVT
CSCO
BOTJ
PSX
UTMD
HES
KMB
STM
SYF-PA
CMC
X
MTH
EEFT
HOVNP
JBL
DEO
CVLY
COWNL
THO
HLT
MXL
LSCC
FANG
STX
BF-A
BF-B
CBT
SEE
RACE
FWRD
ALGN
EXK
CNQ
ABMD
EME
CPSH
TBCPW
CHKP
SSTK
HOLX
TECTP
AGCO
KEYS
SU
DCI
ARCB
AKO-B
AKO-A
MNST
AR
SLM
ERIE
MCB
CHSCP
CHSCL
DFH
NVEC
WDFC
AVAL
RCII
YETI
CTRN
ORCL
CVCO
EW
BRKR
SSD
ABCL
CROX
WB
TWI
PDD
SHLS
MSI
ZUMZ
DIOD
MOS
LND
PFE
PLTK
DLHC
WTS
FCBC
FINV
GOOGL
GOOG
CTSH
TECK
PARR
MMI
OC
FCNCA
FCNCO
NKE
ZBRA
ARCE
GIII
IPG
LYG
